Pavadinimas,Autorius,Publikavimo duomenys
"Defensio Tridentinae fidei Catholicae, et integerrimae quinque libris comprehensa","Paiva de Andrade, Diogo de (1528-1575)","Coloniae : apud Maternum Cholinum, ⅽIↄ Iↄ LXXX [1580]"
"THOMAE STAPLETONI, ANGLI, S. THEOLOGIAE DOCTORIS,  ET PROFESSORIS REGII LOVANII, PROMPTVARIVM CATHOLICVM, Ad instructionem Concionatorum contra nostri temporis haereses, SVPER  EVANGELIA FERIALIA PER TOTAM QVADRAGESIMAM","Stapleton, Thomas (1535-1598)","Coloniae Agrippinae : in Officina Birckmannica, sumptibus Hermanni Mylij, ANNO cⅠↄ. Ⅰↄ. XCIIII. [1594]"
Monikos mokyklėlė,"Pipirienė, Janina (1928-2015)","Panevėžys : Magilė, 997"
Neparametrinė statistika,"Bikelienė, Vanda","Vilnius : Vilniaus valstybinis V. Kapsuko universitetas, I986"
Ponad śnieg bielszym się stanę; Uciekła mi przepióreczka,"Żeromski, Stefan (1864–1925)","Warszawa : Czytelnik, 966"
Коричневые „ястребы”,"Горбатенко, Д.Д.","Москва : Воениздат, 95, [1] р."
Pirmasis Eucharistinis Kongresas Lietuvoje,"Smečechauskas, Mejeris","Kaunas, 934-06-29 - 07-01"
Histoire de la révolution de France,"Bertand de Moleville, Antoine-François de (1744-1818)","A Paris : chez Giguet et Cie, AN 9-11 (1801-1803)"
Евтушенко-89,"Евтушенко, Евгений Александрович (1933–2017)","Сп [Санкт-Петербург] : Совит-турс, 90 [1990]"
"Defensio Tridentinae fidei Catholicae, et integerrimae quinque libris comprehensa","Paiva de Andrade, Diogo de (1528-1575)","Coloniae : apud Maternum Cholinum, ⅽIↄ Iↄ LXXX [1580]"
"THOMAE STAPLETONI, ANGLI, S. THEOLOGIAE DOCTORIS,  ET PROFESSORIS REGII LOVANII, PROMPTVARIVM CATHOLICVM, Ad instructionem Concionatorum contra nostri temporis haereses, SVPER  EVANGELIA FERIALIA PER TOTAM QVADRAGESIMAM","Stapleton, Thomas (1535-1598)","Coloniae Agrippinae : in Officina Birckmannica, sumptibus Hermanni Mylij, ANNO cⅠↄ. Ⅰↄ. XCIIII. [1594]"
Monikos mokyklėlė,"Pipirienė, Janina (1928-2015)","Panevėžys : Magilė, 997"
Neparametrinė statistika,"Bikelienė, Vanda","Vilnius : Vilniaus valstybinis V. Kapsuko universitetas, I986"
Ponad śnieg bielszym się stanę; Uciekła mi przepióreczka,"Żeromski, Stefan (1864–1925)","Warszawa : Czytelnik, 966"
Коричневые „ястребы”,"Горбатенко, Д.Д.","Москва : Воениздат, 95, [1] р."
Pirmasis Eucharistinis Kongresas Lietuvoje,"Smečechauskas, Mejeris","Kaunas, 934-06-29 - 07-01"
Histoire de la révolution de France,"Bertand de Moleville, Antoine-François de (1744-1818)","A Paris : chez Giguet et Cie, AN 9-11 (1801-1803)"
Евтушенко-89,"Евтушенко, Евгений Александрович (1933–2017)","Сп [Санкт-Петербург] : Совит-турс, 90 [1990]"
"Lenkijos karaliaus, Lietuvos didžiojo kunigaikščio Žygimanto Senojo raštas, kuriuo dvarionui Ivanui Timofiejevičiui Pleščejevui Jurlovui patvirtinamos nuosavybės teisės į Gaižuvos ir Panevėžio dvarus su žmonėmis (išvardinti) ir 4 dykynėmis (išvardintos) Vilkijos paviete, Žemaitijoje, bei į 21 dykynę (išvardintos) Josvainių valsčiuje, Žemaitijoje, taip pat teisė į Alberto Goštauto jam duotas valdas: 4 dykynes Darsūniškyje (išvardintos) ir namą Vilniuje, Totorių gatvėje","Žygimantas Senasis (1467-1548), Lietuvos didysis kunigaikštis ir Lenkijos karalius","[Vilnius], 1522"
V. Vasiliausko laiškas B. Aleknavičiui,"Vasiliauskas, Valdas","Vilnius, 78.XII.1"
Satan in Goray and other stories,"בשביס-זינגר, יצחק (1904–1991)","[Yerusholaim] : [Hebreisher uniṿersiṭeṭ in Yerusholaim, Yidish-opṭeylung], [733 = 1972]"
Sulla passione del redentore,"Odescalchi, Pietro (1789-1856)","Roma : presso Paolo Salviucci e figlio, [non ante 7 Apr. 1821]"
"Книга ... преподобнаго отца Ефрема, од части его житïя и наказанïя и поученïя","Ephraen Syrus (apie 303-373), šventasis","В ц[а]рствующемъ граде Москве : [s. l.], 7155 06 29 - 08 29"
Один против всех,"Сухов, Евгений Евгеньевич","Москва : ЭКСМО, 7"
Тактикон,Νίκων ο Μαυρορείτης (apie 1025 - po 1100),"Въ монастыре почаевскомъ : [s. l.], 7303 11 15"
"Von Gottes Gnaden Wir, Georg Friederich, Marggraff zu Brandenburg In Preussen ... hiemit allen und jedermenniglichen wes Standes oder wesens die sind, zuvernehmen, Nachdeme uns von unsern unterthanen und Dienern vielfeltige klagen und berichte einkommen ...","Georg FriedrichI (1539–1603), Brandenburgo-Ansbacho markgrafas","Königsperg : [s. n.], den 7 Iunii ... 1593"
"Iasnie Wielmoznego ... x. Wawrzynca Gembickiego, biskupa chełmińskiego ... po approbatiey Reguły y porządkow ... w klasztorze chełmińskim, do zakonnic, Napominanie w roku panskim 1607 dnia 7 kwietnia; Tegosz Wielebnego Oyca ... Obwieszczęnie ! intentiey swey, iako declaratiae na Regułę approbowaną maią bydź rozumiane ... ex actis Culmae 1609 6 Octobris","Gembicki, Wawrzyniec (1559-1624)","[S.l., post 6 Oct. 1609]"
