INFO,KAINA,REITINGAS,LIKUTIS
Lenovo,1069,5.0,5+
Asus,529,5.0,1
Lenovo,299,5.0,5+
Lenovo,854.99,5.0,2
Lenovo,888,5.0,5+
Lenovo,949,5.0,1
Asus,1307.65,5.0,5+
Lenovo,1579.72,5.0,5+
Apple,2003.53,5.0,5
Acer,193.98,5.0,5+
Dell,420.67,5.0,5+
Apple,1286.54,5.0,5
Asus,2196.06,5.0,5+
Asus,886.97,5.0,5+
Dell,1999,5.0,1
Asus,1199,5.0,1
Lenovo,1799,5.0,1
Acer,899,5.0,1
Lenovo,866.99,5.0,1
MSI,1330.99,5.0,5
Asus,1111,5.0,5
Dell,523.09,5.0,5+
Asus,907.21,5.0,1
Dell,537.18,5.0,5+
Dell,1106.49,5.0,5+
Hewlett,235.99,5.0,1
Dell,886.74,5.0,5+
Dell,631.15,5.0,5+
Dell,627.39,5.0,5+
Lenovo,581.99,5.0,5+
Lenovo,1639.99,0.0,5
Lenovo,1417.99,0.0,5+
Lenovo,3916.25,0.0,2
Acer,199,5.0,5
Dell,555,5.0,1
Asus,479,5.0,1
Lenovo,519,0.0,1
MSI,1399,0.0,2
