pavadinimas,plotas,kaina
Apartamentai Bulgarijoje prie jūros,50m²,80 000 €
Komercinės paskirties nekiln.turtas,2678m²,1 100 €
"Butas su vaizdu į kalnus, jūrą! Batumis",57m²,72 900 €
Namas prie Baltijos jūros Pape Latvija,90m²,165 000 €
Kapšedės dvaro pastatas su plačiu sklypu,1513m²,220 000 €
Butas 2 kamb.,60m²,250 000 €
DVIEJU KAMBARIU BUTAS LIEPOJOJE,49m²,59 000 €
Parduodamas Sklypas Prie jūros 25 km nuo,51a,62 000 €
"Nuostabūs nauji butai Alanijoje, Turkija",68m²,291 500 €
Nauji  butai Alanijoje iš statytojo,45m²,120 000 €
Administracinis pastatas Latvijoje,2819m²,450 000 €
Parduodami butai Sardinijoje (Italija),64m²,226 000 €
Parduodamas 3 k. butas su vaizdu į jūrą,184m²,860 000 €
Šviesus ir erdvus butas La Zenia,85m²,187 000 €
Žemė prie jūros Latvijoje,6000a,120 000 €
"Švedija, Nittorpsvagen dalstorp",120m²,85 000 €
Parduodamas 2 kambarių butas Dubajuje,71m²,240 000 €
"Šiuolaikiško stiliaus namas, Esteponoje!",Plotas nerastas,1 990 000 €
Apartamentai Tenerifėje,88m²,384 000 €
Sklypas prie jūros Liepoja Latvija,12a,19 000 €
2 kambarių butas Liepojoje,50m²,40 000 €
PARDUODAMAS SKLYPAS PAPĖJE LATVIJOJE,55a,55 000 €
Parduodama žemė Latvijoje,25a,17 500 €
Pirtis 200 m. iki Jūros,60m²,47 000 €
Namų valdos sklypas su statybos leidimu,39a,94 900 €
Naujas butas su vaizdu į jūrą už 268000€,83m²,268 000 €
Villa Kalnuose Šiaurės Kipre!,199m²,369 000 €
"""CAESAR BEACH"" REZIDENCIJA",61m²,175 000 €
Atsibodo išpūstos NT kainos Lietuvoje?,20m²,22 000 €
Sklypas ant jūros kranto Papeje,100a,330 000 €
Apartamentai Batumyje NEXT ADDRESS,Plotas nerastas,38 280 €
Etnografinė sodyba „Jūrmalnieki“,Plotas nerastas,550 000 €
"Apartamentai prie jūros Gruzija, Batumys",Plotas nerastas,37 000 €
"FLORIDA, JAV - Nekilnojamas turtas",Plotas nerastas,270 000 €
